"x","y","location"
282860.428651842,6758103.01140494,"inside region"
110992.775644974,6466057.14446587,"inside region"
256384.35756645,7299179.30194279,"extension buffer"
892052.135654084,7828008.75388347,"inside region"
740978.744906156,7917773.65659542,"extension buffer"
381916.855274719,7382038.80378097,"inside region"
525512.917454025,7345274.40484257,"inside region"
247581.149954157,6802221.26093137,"inside region"
274188.079377646,6872938.71479117,"inside region"
597405.758249758,7484581.70327549,"extension buffer"
344031.864948381,7564774.40212025,"extension buffer"
468702.795525917,7653992.55053081,"extension buffer"
260903.470280258,6721090.24187707,"inside region"
480780.384775223,7023465.1163712,"extension buffer"
75399.9003171013,6487683.54391229,"inside region"
459938.631061957,7459179.48212503,"inside region"
482897.664658549,7380241.82589259,"inside region"
371949.688258243,7302343.35812719,"inside region"
585291.891164263,7758656.56836693,"extension buffer"
465237.562639475,7300602.83085583,"inside region"
333468.817003465,7179046.96545106,"inside region"
1037502.89946704,7803500.97089707,"inside region"
1007624.37516856,7637782.37185776,"extension buffer"
932593.180239333,7646336.97980442,"extension buffer"
1005655.22680918,7685106.58295841,"extension buffer"
654129.514653697,7597894.98575721,"inside region"
363408.382777895,6633502.46598414,"extension buffer"
399332.917209605,6608165.73611439,"extension buffer"
272474.547802618,7215439.48823982,"extension buffer"
372496.466350799,6955876.11157584,"extension buffer"
231697.737452199,7004177.71078987,"inside region"
196769.895217633,6925203.36583453,"inside region"
558918.772097167,7254331.64740072,"extension buffer"
680299.954765971,7703123.78348247,"inside region"
1035583.46500233,7856766.39332632,"inside region"
793349.758989575,7647256.50797231,"inside region"
403161.075110529,7007734.88377697,"extension buffer"
111085.631201341,6554250.06653264,"inside region"
842600.532964357,7560152.02209229,"extension buffer"
200230.074411707,6773184.45618533,"inside region"
-145947.334740948,6700561.54046829,"extension buffer"
388235.402852478,6561865.32334958,"extension buffer"
643406.240315857,7441457.26583996,"extension buffer"
52123.8179624826,6662587.78719596,"inside region"
-113641.79246244,6891150.16006132,"extension buffer"
330552.168452431,7415359.33019563,"extension buffer"
288098.686038715,7447264.65633302,"extension buffer"
922189.171637301,7787877.73212578,"inside region"
276592.421923854,6643371.44489838,"inside region"
566053.385452629,7800858.92889569,"extension buffer"
-86356.9550919798,6652815.03486601,"extension buffer"
-22930.9196933806,6675679.96008403,"inside region"
941632.759918283,7892956.32843319,"inside region"
-145033.890251005,6753147.02869617,"extension buffer"
549474.631125626,7645808.29126722,"inside region"
884047.16901079,7563753.10635391,"extension buffer"
802544.315143016,7757352.76725192,"inside region"
746943.454287128,7516885.50683737,"extension buffer"
872869.297974,7612490.73084651,"extension buffer"
1027599.19871782,7938967.85791394,"extension buffer"
387490.495159105,7545630.86830589,"extension buffer"
-11708.9592761036,6940310.04074423,"extension buffer"
40681.0651302945,6989876.13152786,"extension buffer"
-38098.5626221446,6992665.77071564,"extension buffer"
710002.454071397,7530257.54120726,"extension buffer"
276735.764064716,6550100.93514612,"inside region"
1066411.50347097,7706915.79364506,"extension buffer"
219098.836021661,6444195.22941271,"extension buffer"
792664.534491683,7603983.22566749,"extension buffer"
115835.027807177,6958943.25382517,"inside region"
164639.130308963,6898529.33587226,"inside region"
29933.3377972555,6720642.81071023,"inside region"
246500.119718381,7041008.04335929,"inside region"
730264.551007002,7794916.86705446,"inside region"
643227.206218496,7816294.12043291,"extension buffer"
1108140.52637984,7959796.19801489,"extension buffer"
212529.230532651,6676378.33532045,"inside region"
53048.3743023281,6849040.47698044,"inside region"
-77201.2469668373,6729454.36282915,"extension buffer"
